date,value
6/13/2018,112.2599
6/14/2018,112.861
6/15/2018,113.3398
6/18/2018,113.4919
6/19/2018,113.6408
6/20/2018,113.4804
6/21/2018,113.6131
6/22/2018,113.3069
6/25/2018,113.2886
6/26/2018,113.304
6/27/2018,113.8994
6/28/2018,113.8427
6/29/2018,113.2611
7/2/2018,114.1699
7/3/2018,113.3244
7/4/2018,.
7/5/2018,112.9783
7/6/2018,112.6453
7/9/2018,112.645
7/10/2018,112.5818
7/11/2018,112.8608
7/12/2018,112.7815
7/13/2018,113.0731
7/16/2018,112.8464
7/17/2018,113.153
7/18/2018,113.3374
7/19/2018,113.949
7/20/2018,113.324
7/23/2018,113.4274
7/24/2018,113.2069
7/25/2018,112.9241
7/26/2018,112.9198
7/27/2018,112.8144
7/30/2018,112.6066
7/31/2018,112.732
8/1/2018,112.8919
8/2/2018,113.1696
8/3/2018,113.0135
8/6/2018,113.2302
8/7/2018,112.9773
8/8/2018,113.1424
8/9/2018,113.3818
8/10/2018,114.3012
8/13/2018,114.8519
8/14/2018,114.6586
8/15/2018,115.1533
8/16/2018,114.6424
8/17/2018,114.5347
8/20/2018,114.3514
8/21/2018,113.8617
8/22/2018,113.6646
8/23/2018,114.0949
8/24/2018,113.6003
8/27/2018,113.2739
8/28/2018,113.3465
8/29/2018,113.6483
8/30/2018,114.092
8/31/2018,114.2775
9/3/2018,.
9/4/2018,114.8605
9/5/2018,114.7501
9/6/2018,114.6501
9/7/2018,114.5833
9/10/2018,114.682
9/11/2018,114.7071
9/12/2018,114.221
9/13/2018,113.9289
9/14/2018,114.068
9/17/2018,113.918
9/18/2018,113.776
9/19/2018,113.6552
9/20/2018,113.5012
9/21/2018,113.5122
9/24/2018,113.5326
9/25/2018,113.723
9/26/2018,113.6764
9/27/2018,113.9807
9/28/2018,113.8094
10/1/2018,113.8247
10/2/2018,113.8965
10/3/2018,114.1579
10/4/2018,114.6879
10/5/2018,114.5621
10/8/2018,.
10/9/2018,114.659
10/10/2018,114.6083
10/11/2018,114.4086
10/12/2018,114.3703
10/15/2018,114.0462
10/16/2018,113.8974
10/17/2018,114.1764
10/18/2018,114.8174
10/19/2018,114.858
10/22/2018,115.1794
10/23/2018,115.1664
10/24/2018,115.3763
10/25/2018,115.4838
10/26/2018,115.4737
10/29/2018,115.8947
10/30/2018,116.2368
10/31/2018,116.5291
11/1/2018,115.8667
11/2/2018,115.6439
11/5/2018,115.704
11/6/2018,115.5633
11/7/2018,115.2531
11/8/2018,115.649
11/9/2018,116.4789
11/12/2018,.
11/13/2018,116.6704
11/14/2018,116.4991
11/15/2018,116.3874
11/16/2018,115.9271
11/19/2018,115.9877
11/20/2018,116.2383
11/21/2018,116.0937
11/22/2018,.
11/23/2018,116.4729
11/26/2018,116.6225
11/27/2018,116.9017
11/28/2018,116.8359
11/29/2018,116.1981
11/30/2018,116.4147
12/3/2018,115.907
12/4/2018,116.004
12/5/2018,.
12/6/2018,116.4011
12/7/2018,116.0866
12/10/2018,116.6765
12/11/2018,116.7581
12/12/2018,116.223
12/13/2018,116.3993
12/14/2018,116.7916
12/17/2018,116.4549
12/18/2018,116.4148
12/19/2018,116.0698
12/20/2018,116.0205
12/21/2018,116.2248
12/24/2018,116.2204
12/25/2018,.
12/26/2018,116.1183
12/27/2018,115.9948
12/28/2018,115.7253
12/31/2018,115.5695
1/1/2019,.
1/2/2019,115.7681
1/3/2019,115.4621
1/4/2019,114.9822
1/7/2019,114.5631
1/8/2019,114.7281
1/9/2019,114.1407
1/10/2019,114.0487
1/11/2019,114.0384
1/14/2019,.
1/15/2019,114.3363
1/16/2019,114.1331
1/17/2019,114.4083
1/18/2019,114.5547
1/21/2019,.
1/22/2019,114.7516
1/23/2019,114.5741
1/24/2019,114.6134
1/25/2019,114.0168
1/28/2019,114.0497
1/29/2019,114.0225
1/30/2019,114.0702
1/31/2019,113.5472
2/1/2019,113.7529
2/4/2019,113.8742
2/5/2019,114.0402
2/6/2019,114.2271
2/7/2019,114.4304
2/8/2019,114.4965
2/11/2019,115.028
2/12/2019,114.7271
2/13/2019,114.9375
2/14/2019,115.0975
2/15/2019,114.9889
2/18/2019,.
2/19/2019,114.5673
2/20/2019,.
2/21/2019,114.5063
2/22/2019,114.2683
2/25/2019,114.142
2/26/2019,114.0658
2/27/2019,114.0332
2/28/2019,114.1969
3/1/2019,114.5355
3/4/2019,114.6904
3/5/2019,114.8017
3/6/2019,114.9704
3/7/2019,115.4897
3/8/2019,115.3577
3/11/2019,115.2945
3/12/2019,114.9371
3/13/2019,114.7362
3/14/2019,114.7894
3/15/2019,114.5814
3/18/2019,114.4372
3/19/2019,114.2313
3/20/2019,114.1497
3/21/2019,114.167
3/22/2019,114.6841
3/25/2019,114.4156
3/26/2019,114.6398
3/27/2019,115.1232
3/28/2019,115.257
3/29/2019,115.1347
4/1/2019,114.9333
4/2/2019,115.1144
4/3/2019,114.7191
4/4/2019,114.9674
4/5/2019,114.9701
4/8/2019,114.6869
4/9/2019,114.5297
4/10/2019,114.4243
